Date,Close,High,Low,Open,Volume
2025-03-03,765160.0,777749.0,759700.0,775648.0,2900
2025-03-04,742800.0,761405.0,740759.0,759915.0,2400
2025-03-05,746940.0,751020.0,738987.0,745891.0,1400
2025-03-06,747110.0,749096.0,738286.0,745145.0,1400
2025-03-07,742901.0,747212.0,735200.0,744600.0,1500
2025-03-10,744944.0,750255.0,734625.0,736299.0,2200
2025-03-11,744708.0,748402.0,737002.0,744256.0,2000
2025-03-12,745682.0,748345.0,733900.0,747915.0,1500
2025-03-13,756910.0,761789.0,741952.0,744972.0,1500
2025-03-14,771250.0,773525.0,754962.0,759622.0,1800
2025-03-17,784957.0,786746.0,770287.0,772036.0,2500
2025-03-18,783684.0,792240.0,781882.0,788495.0,1700
2025-03-19,789880.0,789964.0,781230.0,789633.0,3700
2025-03-20,792880.0,795671.0,784695.0,787528.0,2900
2025-03-21,781680.0,793025.0,781290.0,792675.0,2300
2025-03-24,789649.0,790614.0,782272.0,785498.0,2600
2025-03-25,792966.0,799502.0,788700.0,790645.0,1700
2025-03-26,798963.0,806024.0,794601.0,796054.0,1800
2025-03-27,801950.0,805833.0,794303.0,798427.0,1900
2025-03-28,790250.0,803449.0,787100.0,803222.0,2100
2025-03-31,798442.0,804461.0,778716.0,781811.0,2500
2025-04-01,800300.0,804096.0,791272.0,798058.0,2100
2025-04-02,806684.0,808030.0,795480.0,797927.0,1700
2025-04-03,794514.0,807838.0,786761.0,790616.0,1100
2025-04-04,742540.0,779944.0,739478.0,776929.0,1500
2025-04-07,737000.0,757493.0,695517.0,702098.0,1900
2025-04-08,739101.0,773910.0,726481.0,763357.0,900
2025-04-09,778421.0,784890.0,727962.0,738283.0,900
2025-04-10,774000.0,780269.0,747842.0,777791.0,600
2025-04-11,784000.0,789300.0,766666.0,775969.0,600
2025-04-14,793788.0,804250.0,790050.0,796354.0,700
2025-04-15,792500.0,803560.0,791250.0,799709.0,400
2025-04-16,774261.0,794950.0,769941.0,794256.0,500
2025-04-17,778833.0,785888.0,772940.0,777941.0,300
2025-04-21,760489.0,777363.0,748383.0,775235.0,500
2025-04-22,780000.0,782934.0,767526.0,770396.0,400
2025-04-23,788799.0,798100.0,786000.0,792086.0,500
2025-04-24,797140.0,799022.0,785589.0,789724.0,400
2025-04-25,795760.0,798000.0,790778.0,797963.0,300
2025-04-28,797750.0,804977.0,790120.0,800630.0,500
2025-04-29,801340.0,802868.0,792771.0,798288.0,500
2025-04-30,800540.0,803232.0,786414.0,798258.0,500
2025-05-01,795400.0,799620.0,792772.0,798237.0,400
2025-05-02,809350.0,812855.0,802875.0,803783.0,500
2025-05-05,769960.0,781570.0,754568.0,780921.0,1200
2025-05-06,768000.0,773351.0,761930.0,765369.0,400
2025-05-07,778173.0,780078.0,770000.0,773052.0,300
2025-05-08,769000.0,782014.0,769000.0,780092.0,400
2025-05-09,770999.0,773960.0,765612.0,771754.0,300
2025-05-12,772100.0,779853.0,765615.0,779849.0,600
2025-05-13,767000.0,774033.0,767000.0,771963.0,500
2025-05-14,753215.0,767778.0,753215.0,767778.0,600
2025-05-15,759100.0,764563.0,751890.0,753969.0,400
2025-05-16,770660.0,771080.0,759237.0,762266.0,400
2025-05-19,767200.0,770318.0,765000.0,770318.0,300
2025-05-20,762320.0,768000.0,760000.0,767396.0,300
2025-05-21,761380.0,764503.0,758823.0,761265.0,400
2025-05-22,756250.0,761895.0,754384.0,759110.0,300
2025-05-23,754505.0,758095.0,750000.0,750000.0,300
2025-05-27,760100.0,764310.0,756432.0,759403.0,500
2025-05-28,754820.0,763222.0,754345.0,762239.0,300
2025-05-29,758577.0,759500.0,752142.0,756495.0,400
2025-05-30,757400.0,758243.0,750285.0,757557.0,300
2025-06-02,754740.0,754740.0,749040.0,753280.0,600
2025-06-03,746200.0,753146.0,740100.0,751958.0,700
2025-06-04,737820.0,744293.0,736650.0,744293.0,400
2025-06-05,732953.0,736585.0,729050.0,734037.0,400
2025-06-06,740396.0,743926.0,735218.0,735218.0,400
2025-06-09,739925.0,741502.0,733510.0,741502.0,300
2025-06-10,736000.0,739512.0,734336.0,737601.0,300
2025-06-11,732120.0,739205.0,730230.0,737408.0,300
2025-06-12,735000.0,735000.0,726821.0,729200.0,200
2025-06-13,731220.0,736313.0,727532.0,727532.0,400
2025-06-16,735920.0,737634.0,732030.0,733860.0,400
2025-06-17,725400.0,734361.0,725000.0,734361.0,300
2025-06-18,728200.0,729509.0,724298.0,725380.0,300
2025-06-20,730000.0,730000.0,725000.0,727715.0,500
2025-06-23,732468.0,732515.0,723000.0,727471.0,500
2025-06-24,740085.0,746550.0,732426.0,734118.0,400
2025-06-25,730000.0,742535.0,730000.0,742495.0,400
2025-06-26,729808.0,732541.0,726736.0,729200.0,400
2025-06-27,730940.0,735000.0,727296.0,729163.0,400
2025-06-30,728800.0,731999.0,726203.0,730204.0,400
2025-07-01,733150.0,736555.0,726500.0,727546.0,500
2025-07-02,720500.0,735310.0,718034.0,735310.0,500
2025-07-03,727455.0,729750.0,720285.0,721541.0,300
2025-07-07,716415.0,728894.0,715099.0,726556.0,600
2025-07-08,715269.0,719501.0,710200.0,715959.0,400
2025-07-09,719578.0,719630.0,714000.0,716918.0,500
2025-07-10,717180.0,719320.0,713000.0,717128.0,400
2025-07-11,712842.0,714713.0,707759.0,713276.0,300
2025-07-14,711100.0,717000.0,710409.0,711240.0,400
2025-07-15,705000.0,713661.0,705000.0,713661.0,300
2025-07-16,707681.0,709161.0,703573.0,705934.0,300
2025-07-17,709820.0,711459.0,702000.0,705465.0,400
2025-07-18,710979.0,717500.0,709940.0,711222.0,200
2025-07-21,711000.0,717526.0,706022.0,707742.0,400
2025-07-22,714710.0,724303.0,712296.0,714303.0,600
2025-07-23,723120.0,726502.0,718945.0,721064.0,400
2025-07-24,725700.0,728709.0,719922.0,722187.0,600
2025-07-25,726220.0,727796.0,720500.0,723178.0,300
2025-07-28,722200.0,730198.0,721655.0,725802.0,300
2025-07-29,713705.0,727376.0,713705.0,722345.0,600
2025-07-30,714175.0,717903.0,710532.0,713928.0,300
2025-07-31,719850.0,720000.0,707872.0,709525.0,700
2025-08-01,711480.0,715191.0,707490.0,712231.0,400
2025-08-04,692600.0,703419.0,685150.0,702758.0,900
2025-08-05,694750.0,702375.0,691120.0,693257.0,600
2025-08-06,703115.0,704260.0,695129.0,696051.0,300
2025-08-07,700000.0,708739.0,693057.0,703476.0,500
2025-08-08,698040.0,699941.0,693021.0,695837.0,300
2025-08-11,698440.0,702190.0,695680.0,699742.0,500
2025-08-12,704700.0,708300.0,697051.0,697051.0,300
2025-08-13,715490.0,719339.0,706703.0,707526.0,400
2025-08-14,718680.0,718680.0,712115.0,718026.0,300
2025-08-15,717250.0,724040.0,714246.0,723080.0,300
2025-08-18,718052.0,718235.0,712283.0,717427.0,300
2025-08-19,727200.0,728510.0,718768.0,721225.0,400
2025-08-20,732814.0,737800.0,729052.0,729052.0,300
2025-08-21,733080.0,733330.0,726862.0,731670.0,200
2025-08-22,734405.0,739000.0,730133.0,736352.0,300
2025-08-25,729687.0,734276.0,722838.0,733703.0,400
2025-08-26,737180.0,738715.0,726051.0,728144.0,300
2025-08-27,744347.0,745677.0,734734.0,736595.0,300
2025-08-28,749478.0,750000.0,743855.0,746268.0,300
2025-08-29,755280.0,759700.0,749530.0,750588.0,400
2025-09-02,751128.0,757996.0,747807.0,755675.0,400
2025-09-03,751808.0,753194.0,745000.0,750876.0,300
2025-09-04,759798.0,760837.0,750595.0,753022.0,300
2025-09-05,750104.0,759697.0,746630.0,759046.0,300
2025-09-08,740099.0,749700.0,739200.0,749543.0,700
2025-09-09,738781.0,745000.0,737226.0,739881.0,300
2025-09-10,737994.0,738064.0,730000.0,736300.0,600
2025-09-11,745001.0,745640.0,732522.0,735356.0,400
2025-09-12,740317.0,745800.0,740000.0,743586.0,300
2025-09-15,736469.0,740976.0,734347.0,740652.0,400
2025-09-16,735993.0,737536.0,730899.0,735803.0,300
2025-09-17,739380.0,743805.0,735080.0,736590.0,400
2025-09-18,736450.0,741932.0,731346.0,735072.0,300
2025-09-19,740400.0,742364.0,733842.0,737211.0,400
2025-09-22,742460.0,742460.0,734594.0,736940.0,400
2025-09-23,739686.0,749000.0,739051.0,740330.0,400
2025-09-24,744600.0,745281.0,739351.0,740523.0,200
2025-09-25,745326.0,748065.0,742150.0,744089.0,400
2025-09-26,749700.0,753053.0,742551.0,744750.0,300
2025-09-29,749300.0,750999.0,742611.0,750330.0,300
2025-09-30,754200.0,755324.0,744000.0,746378.0,300
2025-10-01,745906.0,754091.0,744000.0,754091.0,500
2025-10-02,744628.0,749000.0,740000.0,743451.0,300
2025-10-03,750583.0,753680.0,741801.0,741801.0,500
2025-10-06,750750.0,757450.0,747024.0,749404.0,400
2025-10-07,753715.0,756055.0,748120.0,750443.0,300
2025-10-08,749800.0,755001.0,748310.0,754291.0,200
2025-10-09,744705.0,751740.0,742300.0,750279.0,300
2025-10-10,734180.0,746200.0,734180.0,744870.0,300
2025-10-13,738130.0,740000.0,731956.0,733932.0,300
2025-10-14,743525.0,745336.0,732360.0,734559.0,300
2025-10-15,744040.0,744684.0,735580.0,741175.0,200
2025-10-16,733080.0,743032.0,729000.0,742905.0,300
2025-10-17,738200.0,740000.0,733551.0,733551.0,300
2025-10-20,740600.0,741431.0,735531.0,737623.0,300
2025-10-21,736600.0,743365.0,736600.0,741088.0,200
2025-10-22,736752.0,738962.0,733220.0,737995.0,300
2025-10-23,735600.0,737840.0,732810.0,737290.0,200
2025-10-24,738500.0,739299.0,734561.0,736826.0,200
2025-10-27,732650.0,738000.0,726900.0,736649.0,500
2025-10-28,722495.0,728408.0,722372.0,727752.0,400
2025-10-29,712900.0,718993.0,710475.0,716155.0,400
2025-10-30,717922.0,721025.0,710613.0,711688.0,300
2025-10-31,715740.0,718028.0,712443.0,714364.0,200
2025-11-03,712170.0,719552.0,710000.0,719552.0,700
2025-11-04,731118.0,732509.0,710767.0,712884.0,500
2025-11-05,736150.0,740400.0,729056.0,731375.0,500
2025-11-06,739900.0,740867.0,730000.0,732342.0,400
2025-11-07,748320.0,750000.0,739537.0,741075.0,400
2025-11-10,744500.0,751773.0,743528.0,745482.0,500
2025-11-11,745751.0,750000.0,741515.0,747090.0,300
2025-11-12,756363.0,756607.0,743062.0,744711.0,500
2025-11-13,770185.0,771480.0,755094.0,756601.0,500
2025-11-14,763867.0,773935.0,759691.0,772431.0,700
2025-11-17,755420.0,766521.0,754425.0,765911.0,400
2025-11-18,755597.0,759175.0,751665.0,752752.0,500
2025-11-19,752464.0,756200.0,744395.0,753051.0,300
2025-11-20,754625.0,759250.0,749301.0,749301.0,400
2025-11-21,755320.0,760590.0,751926.0,754763.0,200
2025-11-24,763000.0,763000.0,745708.0,752297.0,300
2025-11-25,763000.0,768218.0,760207.0,762403.0,200
2025-11-26,767866.0,768735.0,761276.0,764299.0,200
2025-11-28,770100.0,775000.0,765337.0,767455.0,200
2025-12-01,761161.0,771455.0,761161.0,769898.0,400
2025-12-02,760100.0,761829.0,755000.0,761253.0,300
2025-12-03,758000.0,762388.0,756861.0,760558.0,300
2025-12-04,754746.0,759531.0,751444.0,756599.0,200
2025-12-05,755800.0,758430.0,750923.0,754388.0,2100
2025-12-08,745120.0,753776.0,736557.0,753256.0,1100
2025-12-09,736300.0,747828.0,736239.0,745766.0,400
2025-12-10,735276.0,743553.0,733750.0,735352.0,300
2025-12-11,742550.0,746586.0,735358.0,735358.0,500
2025-12-12,748887.0,749600.0,741971.0,745696.0,300
2025-12-15,758900.0,759753.0,748038.0,749633.0,400
2025-12-16,749120.0,761777.0,749100.0,760384.0,300
2025-12-17,756120.0,757460.0,748177.0,748251.0,300
2025-12-18,755700.0,757884.0,750201.0,750201.0,800
2025-12-19,745600.0,754044.0,743300.0,752833.0,1000
2025-12-22,750006.0,750108.0,743450.0,743572.0,400
2025-12-23,750560.0,753575.0,746871.0,746871.0,300
2025-12-24,751245.0,752195.0,748923.0,749009.0,200
2025-12-26,747000.0,752000.0,745160.0,748946.0,300
2025-12-29,752000.0,752027.0,745891.0,746251.0,400
2025-12-30,755400.0,757344.0,749096.0,749096.0,300
2025-12-31,754800.0,758896.0,753383.0,753383.0,300
2026-01-02,744120.0,752600.0,739735.0,750000.0,500
2026-01-05,748250.0,754990.0,741397.0,741397.0,500
2026-01-06,748000.0,750646.0,743360.0,743360.0,300
2026-01-07,745000.0,747500.0,739600.0,747000.0,300
2026-01-08,750300.0,755785.0,739987.0,739987.0,300
2026-01-09,748060.0,750000.0,744631.0,747000.0,200
2026-01-12,747860.0,749820.0,742555.0,745349.0,600
2026-01-13,742300.0,745678.0,740180.0,745678.0,300
2026-01-14,743438.0,746000.0,738078.0,740891.0,500
2026-01-15,738691.0,743495.0,736070.0,738461.0,300
2026-01-16,740750.0,742500.0,736119.0,736119.0,300
2026-01-20,727500.0,736000.0,723940.0,734397.0,1900
2026-01-21,724080.0,732000.0,722439.0,725102.0,800
2026-01-22,726200.0,728269.0,722800.0,724011.0,400
2026-01-23,720932.0,724555.0,717710.0,722500.0,500
2026-01-26,726420.0,727204.0,714562.0,714562.0,500
2026-01-27,713000.0,724181.0,712500.0,721627.0,400
2026-01-28,709500.0,714776.0,708085.0,708085.0,400
2026-01-29,714000.0,714840.0,708712.0,708712.0,300
2026-01-30,722500.0,722500.0,711562.0,711562.0,400
2026-02-02,729425.0,731980.0,717510.0,720152.0,19900
2026-02-03,740150.0,743515.0,723043.0,725640.0,300
2026-02-04,757890.0,768318.0,739607.0,739607.0,700
2026-02-05,756943.0,758536.0,747000.0,756600.0,300
2026-02-06,762570.0,764005.0,752812.0,752812.0,300
2026-02-09,747806.0,760000.0,746231.0,758946.0,300
2026-02-10,750020.0,751100.0,746670.0,747900.0,200
2026-02-11,748456.0,754000.0,745851.0,752036.0,400
2026-02-12,749540.0,761000.0,748000.0,752000.0,300
2026-02-13,751425.0,752553.0,744490.0,747801.0,400
2026-02-17,754910.0,757311.0,747949.0,747949.0,300
2026-02-18,747960.0,756064.0,746712.0,753404.0,200
2026-02-19,746100.0,749925.0,743470.0,744051.0,200
2026-02-20,746500.0,747240.0,737552.0,742847.0,300
2026-02-23,740200.0,755000.0,740200.0,744060.0,100
2026-02-24,741200.0,742702.0,733071.0,737889.0,100
2026-02-25,742000.0,745120.0,737000.0,740000.0,100
2026-02-26,753250.0,755500.0,742000.0,742000.0,200
2026-02-27,757000.0,759500.0,752760.0,755000.0,200
